#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#ID, version, HIP, TYC, UCAC, TWOMASS, SDSS, ALLWISE, GAIA, APASS, KIC, objType, typeSrc, ra, dec, POSflag, pmRA, e_pmRA, pmDEC, e_pmDEC, PMflag, plx, e_plx, PARflag, gallong, gallat, eclong, eclat, Bmag, e_Bmag, Vmag, e_Vmag, umag, e_umag, gmag, e_gmag, rmag, e_rmag, imag, e_imag, zmag, e_zmag, Jmag, e_Jmag, Hmag, e_Hmag, Kmag, e_Kmag, TWOMflag, prox, w1mag, e_w1mag, w2mag, e_w2mag, w3mag, e_w3mag, w4mag, e_w4mag, GAIAmag, e_GAIAmag, Tmag, e_Tmag, TESSflag, SPFlag, Teff, e_Teff, logg, e_logg, MH, e_MH, rad, e_rad, mass, e_mass, rho, e_rho, lumclass, lum, e_lum, d, e_d, ebv, e_ebv, numcont, contratio, disposition, duplicate_id, priority, objID, splist, objID1, cx, cy, cz, htmID, distance
#@string, string, int, string, string, string, string, string, string, string, int, string, string, ra, dec, string, string, string, string, string, string, string, string, string, float, float, float, float, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, int, string, string, string, string, string, string, string, float, float, float, string, float
ID,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,objType,typeSrc,ra,dec,POSflag,pmRA,e_pmRA,pmDEC,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,Tmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,objID,splist,objID1,cx,cy,cz,htmID,distance
374857725,20180610,27846,8896-00913-1,134-006801,05533009-6318598,,J055330.08-631859.8,4756614948188729088,29851515,,STAR,2mass,88.375379,-63.31662,tmgaia,-4.83753,0.0398906,-6.22561,0.0399767,tgas,2.7616,0.246266,tgas,272.629994,-30.489553,77.284886,-86.684008,7.741,0.026,7.71,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.545,0.03,7.572,0.044,7.52,0.02,AAA-111-111-000-0-0,24.7,7.458,0.032,7.497,0.02,7.513,0.017,7.419,0.067,7.71407,0.000345996,7.658,0.02,gaiaj,tplx,9189,237,3.55603,0.419292,NaN,NaN,4.21393,0.799249,2.32794,0.415848,0.0311107,0.0177021,DWARF,114.0624,43.26803,362.109,50.8931,0.0580278,NaN,50,0.003571688,,,0.002511747,191886068,planetcandidate,191886068,0.012731378987996,0.448879325024519,-0.893501686374792,9176027976506,199.215176922501
179441193,20180610,,8890-00746-1,120-006592,05200039-6603282,,J052000.32-660327.6,4660499215102020992,31808712,,STAR,2mass,80.001639,-66.05784,tmgaia,-18.9125,0.453585,49.6851,0.449259,tgas,6.56824,0.243697,tgas,276.170554,-33.85161,2.537117,-85.955766,7.896,0.026,7.505,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.705,0.019,6.53,0.024,6.476,0.02,AAA-111-111-000-0-0,16.9,6.434,0.091,6.349,0.025,6.46,0.015,6.403,0.041,7.38374,0.000345996,7.099,0.017,gaiaj,tplx,6698,80,NaN,NaN,NaN,NaN,3.59262,0.386475,1.51331,0.357817,0.0326358,0.0105324,DWARF,23.40442,5.035446,152.2478,8.95901,0.180792,NaN,111,0.002932745,,,0.003621677,189543434,planetcandidate,189543434,0.0704574662391928,0.399650999175543,-0.913955592088119,9177164072599,242.764873222388
38909679,20180610,21634,8880-01118-1,139-004109,04384928-6222427,,J043849.27-622242.4,4677058169451595392,29815689,,STAR,2mass,69.705338,-62.378541,tmgaia,-2.32871,0.0401298,29.8937,0.0426231,tgas,6.59496,0.227943,tgas,272.955633,-39.02624,16.13497,-80.363167,6.955,0.024,6.78,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.369,0.019,6.275,0.024,6.245,0.02,AAA-111-111-000-0-0,49.6,6.254,0.093,6.096,0.033,6.253,0.015,6.15,0.044,6.74407,0.000345996,6.594,0.017,gaiaj,tplx,8204,210,NaN,NaN,NaN,NaN,3.07768,0.360042,1.76062,0.384861,0.0603942,0.0211956,DWARF,38.65843,9.044904,151.6309,8.66275,0.0253445,NaN,28,2.063638E-05,,,0.005042505,186877577,planetcandidate,186877577,0.160808539886923,0.434846472752226,-0.886029998721479,9183219962164,578.372868240574
55661424,20180610,23028,8885-00196-1,125-005107,04570651-6500574,,J045706.54-650056.7,4662350380364435328,31807441,,STAR,2mass,74.277141,-65.015931,tmgaia,12.3646,0.0272362,42.5291,0.0319426,tgas,7.29302,0.307458,tgas,275.500577,-36.38116,6.212426,-83.38883,7.248,NaN,7.21,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.025,0.021,7.013,0.021,6.998,0.017,AAA-111-111-000-0-0,26.4,6.9,0.063,6.957,0.02,6.998,0.016,6.978,0.059,7.22069,0.000345996,7.152,0.018,gaiaj,tplx,8539,227,4.14061,0.314263,NaN,NaN,2.05504,0.259983,2.12725,0.396502,0.245108,0.0930258,DWARF,20.22848,5.118209,137.1175,NaN,0.0410181,NaN,67,0.0006487408,,,0.008433799,187781534,planetcandidate,187781534,0.114454708451429,0.406562869850855,-0.906425260334207,9183926337994,396.795823416117
287298969,20180610,25713,8891-02659-1,118-008091,05292523-6626205,,J052925.24-662620.4,4660325320466040704,31809537,,STAR,2mass,82.355162,-66.439042,tmgaia,7.80521,0.0483154,12.4612,0.0541977,tgas,6.83189,0.232623,tgas,276.462941,-32.859597,358.775973,-86.951096,8.109,NaN,8,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.689,0.027,7.668,0.023,7.642,0.029,AAA-111-111-000-0-0,19.8,7.541,0.033,7.637,0.02,7.634,0.017,7.221,0.07,7.9923,0.000345996,7.875,0.019,gaiaj,tplx,8412,225,4.31964,0.30396,NaN,NaN,1.65515,0.195665,2.08395,0.398094,0.459595,0.162994,DWARF,12.35852,2.921947,146.3723,8.13337,0.100006,NaN,152,0.006472444,,,0.009589973,189888217,planetcandidate,189888217,0.0531761706592083,0.396171662854461,-0.916635319211056,9176492059359,183.029500001413
149665755,20180610,27603,8900-00743-1,124-008034,05503899-6515365,,J055039.01-651536.2,4755928578056044544,31811111,,STAR,2mass,87.66246,-65.260131,tmgaia,1.75817,0.0351509,26.4137,0.0315065,tgas,4.60868,0.311752,tgas,274.891861,-30.781694,52.66486,-88.387214,8.013,0.026,7.99,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.929,0.027,7.899,0.038,7.843,0.029,AAA-111-111-000-0-0,12.6,7.815,0.027,7.862,0.02,7.866,0.017,7.884,0.103,8.00333,0.000345996,7.99,0.019,gaiaj,tplx,8764,231,4.10352,0.36507,NaN,NaN,2.18111,0.344858,2.2001,0.401357,0.212036,0.100576,DWARF,25.28479,7.995618,216.9817,NaN,0.0519692,NaN,91,0.00256943,,,0.005814833,191594990,planetcandidate,191594990,0.0170690959156172,0.418150914924098,-0.908217186752576,9177973985323,97.01839556399
55500825,20180610,22242,8880-00748-1,136-004555,04471535-6249446,,J044715.32-624944.8,4665059611375411200,29819178,,STAR,2mass,71.813987,-62.829066,tmgaia,-15.842,0.0429395,-18.3277,0.0472461,tgas,7.25353,0.243799,tgas,273.177268,-37.970693,17.213878,-81.419192,8.248,0.04,7.87,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.063,0.021,6.908,0.02,6.849,0.021,AAA-111-111-000-0-0,51.4,6.819,0.067,6.786,0.021,6.809,0.016,6.645,0.058,7.75409,0.000345996,7.464,0.018,gaiaj,tplx,6653,111,NaN,NaN,NaN,NaN,2.61235,0.285588,1.41857,0.322413,0.0795713,0.0260968,DWARF,12.04558,2.633699,137.8639,7.34737,0.035033,NaN,38,0.0003373825,,,0.005560858,187180376,planetcandidate,187180376,0.142520796810027,0.433836378576235,-0.88964814342553,9186821566009,515.015133092017
38634217,20180610,20246,8872-00739-1,135-004078,04201900-6310256,,J042019.00-631025.6,4676435296114459136,29808921,,STAR,2mass,65.079196,-63.173795,tmgaia,17.9451,0.0439793,-2.39522,0.0492136,tgas,7.17578,0.243077,tgas,274.836761,-40.765804,6.161103,-78.973629,8.295,0.044,7.91,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.11,0.03,6.904,0.042,6.853,0.027,AAA-111-111-000-0-0,24.1,6.763,0.077,6.786,0.021,6.836,0.015,6.725,0.052,7.78213,0.000345996,7.5,0.02,gaiaj,tplx,6605,132,NaN,NaN,NaN,NaN,2.56393,0.286757,1.34411,0.281421,0.0797474,0.0267575,DWARF,11.27193,2.521368,139.3577,7.49861,0.0334764,NaN,35,0.001756801,,,0.005695565,186288486,planetcandidate,186288486,0.190156070956657,0.409267001511419,-0.892379510159315,9182896813001,661.707654696718
55650481,20180610,22861,8881-00158-1,137-004590,04550682-6247435,,J045506.86-624742.6,,29822852,,STAR,2mass,73.778438,-62.795419,2mass,9,8,76,8,sblink,6.7,0.48,hip,272.867271,-37.106813,20.979266,-82.138536,8.092,0.026,7.98,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.724,0.023,7.745,0.029,7.702,0.021,AAA-111-111-000-0-0,22.8,7.632,0.029,7.694,0.02,7.692,0.016,7.643,0.079,NaN,NaN,7.855,0.032,vjk,hplx,8627,229,4.35256,0.376024,NaN,NaN,1.62101,0.264545,2.15628,0.402595,0.50623,0.247847,DWARF,13.1131,4.280053,149.254,16.6667,0.0341898,NaN,37,0.002164169,,,0.01030538,187543118,planetcandidate,187543118,0.127711300575098,0.438968509834491,-0.889379823854299,9185995217615,471.867232734308
350344057,20180610,26514,8531-01237-1,155-005932,05381640-5906596,,J053816.40-590659.4,4759955917347535488,27260877,,STAR,2mass,84.568345,-59.11657,tmgaia,0.623484,0.0335184,10.0614,0.0341287,tgas,4.40437,0.254136,tgas,267.711145,-32.323825,69.13101,-82.160843,7.107,0.024,7.04,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.773,0.035,6.731,0.051,6.711,0.023,AAA-111-111-000-0-0,13,6.688,0.07,6.674,0.021,6.712,0.015,6.649,0.05,7.02741,0.000345996,6.932,0.022,gaiaj,tplx,8163,222,3.53829,0.347968,NaN,NaN,3.98003,0.57284,1.99357,0.389741,0.0316208,0.0136534,DWARF,63.3675,18.24079,227.0471,NaN,0.0646496,NaN,48,0.0009569379,,,0.003258622,190610380,planetcandidate,190610380,0.0485874659908488,0.510988298653888,-0.858213386511416,9182353208295,470.608854479521
