,Frequency,Amplitudes,Phase
0,5.76119632146424,-0.0001832751964177851,1664.2047960115353
1,5.8945985144146045,-0.0002426669139708167,1488.17938001646
2,6.190906481598081,0.00012253701501470498,1538.5429919300361
3,6.548741982899556,0.0001826557860229373,1448.2370936863394
4,6.810408583119681,-0.0007040766981632642,1570.959395756953
5,7.028219122597868,-0.00022309111963708065,1499.0580430875905
6,7.813507227847915,0.000295982967035818,1527.6181513423837
7,8.274584436083027,-0.0003225587394480763,1496.7530959081273
8,8.788657145070252,0.000801093787411229,1449.1676641820002
9,9.63336970435735,0.00028004127423159996,1493.8868247316616
10,10.107238367111187,0.00017653725778618006,1462.3031498629784
11,10.600155246746157,0.00017961069131349524,1435.5873280190854
12,12.047524768679729,-0.0003938725843767436,1616.9794865119352
13,12.66310450245208,1.0311077810159183e-05,1479.1979132428087
14,12.824895367006603,0.00047237061667565575,1508.3528733841217
15,13.046792710175552,0.0012673599182502554,1618.1844743011286
16,13.277479180776451,0.0003725461728883775,1361.631008663689
17,14.111032936517518,0.00037742370919669307,1547.6795538622757
18,15.206650007239531,-0.000862843693743451,1590.815762511582
19,18.862046580189062,0.0001509113568919309,1421.6191634333686
20,26.10170575657455,0.00017190754187101768,1445.8279117254958
21,28.257643630299217,0.00012648247113505764,1655.2526140598188
